00%add%2%{"Eb","Gb",0}
01%add%2%{"Ev","Gv",0}
02%add%2%{"Gb","Eb",0}
03%add%2%{"Gv","Ev",0}
04%add%2%{"AL","Ib",0}
05%add%2%{"eAX","Iv",0}
06%push es%0%{0,0,0}
07%pop es%0%{0,0,0}
08%or%2%{"Eb","Gb",0}
09%or%2%{"Ev","Gv",0}
0a%or%2%{"Gb","Eb",0}
0b%or%2%{"Gv","Ev",0}
0c%or%2%{"AL","Ib",0}
0d%or%2%{"eAX","Iv",0}
0e%push cs%0%{0,0,0}
0f%     //FIXME
10%adc%2%{"Eb","Gb",0}
11%adc%2%{"Ev","Gv",0}
12%adc%2%{"Gb","Eb",0}
13%adc%2%{"Gv","Ev",0}
14%adc%2%{"AL","Ib",0}
15%adc%2%{"eAX","Iv",0}
16%push ss%0%{0,0,0}
17%pop ss%0%{0,0,0}
18%sbb%2%{"Eb","Gb",0}
19%sbb%2%{"Ev","Gv",0}
1a%sbb%2%{"Gb","Eb",0}
1b%sbb%2%{"Gv","Ev",0}
1c%sbb%2%{"AL","Ib",0}
1d%sbb%2%{"eAX","Iv",0}
1e%push ds%0%{0,0,0}
1f%pop ds%0%{0,0,0}
20%and%2%{"Eb","Gb",0}
21%and%2%{"Ev","Gv",0}
22%and%2%{"Gb","Eb",0}
23%and%2%{"Gv","Ev",0}
24%and%2%{"AL","Ib",0}
25%and%2%{"eAX","Iv",0}
26%     //FIXME
27%daa%0%{0,0,0}
28%sub%2%{"Eb","Gb",0}
29%sub%2%{"Ev","Gv",0}
2a%sub%2%{"Gb","Eb",0}
2b%sub%2%{"Gv","Ev",0}
2c%sub%2%{"AL","Ib",0}
2d%sub%2%{"eAX","Iv",0}
2e%     //FIXME
2f%das%0%{0,0,0}
30%xor%2%{"Eb","Gb",0}
31%xor%2%{"Ev","Gv",0}
32%xor%2%{"Gb","Eb",0}
33%xor%2%{"Gv","Ev",0}
34%xor%2%{"AL","Ib",0}
35%xor%2%{"eAX","Iv",0}
36%     //FIXME
37%aaa%0%{0,0,0}
38%cmp%2%{"Eb","Gb",0}
39%cmp%2%{"Ev","Gv",0}
3a%cmp%2%{"Gb","Eb",0}
3b%cmp%2%{"Gv","Ev",0}
3c%cmp%2%{"AL","Ib",0}
3d%cmp%2%{"eAX","Iv",0}
3e%     //FIXME
3f%aas%0%{0,0,0}
40%inc%1%{"eAX",0,0}
41%inc%1%{"eCX",0,0}
42%inc%1%{"eDX",0,0}
43%inc%1%{"eBX",0,0}
44%inc%1%{"eSP",0,0}
45%inc%1%{"eBP",0,0}
46%inc%1%{"eSI",0,0}
47%inc%1%{"eDI",0,0}
48%dec%1%{"eAX",0,0}
49%dec%1%{"eCX",0,0}
4a%dec%1%{"eDX",0,0}
4b%dec%1%{"eBX",0,0}
